session state change to: 2 from 1
acceleration - x: -0.9144439697265625, y: 0.532196044921875, z: 0.1304168701171875
acceleration - x: -0.8178558349609375, y: 0.388580322265625, z: 0.15899658203125
acceleration - x: -0.8232574462890625, y: 0.2907257080078125, z: 0.1319580078125
acceleration - x: -0.797454833984375, y: 0.3049468994140625, z: -0.0114593505859375
acceleration - x: -0.751068115234375, y: 0.4766082763671875, z: -0.1038360595703125
acceleration - x: -0.777496337890625, y: 0.633758544921875, z: -0.2060699462890625
acceleration - x: -0.788665771484375, y: 0.65478515625, z: -0.19891357421875
acceleration - x: -0.7652130126953125, y: 0.554412841796875, z: -0.0682373046875
acceleration - x: -0.744476318359375, y: 0.413116455078125, z: -0.0308380126953125
acceleration - x: -0.7240447998046875, y: 0.4564666748046875, z: -0.3227996826171875
acceleration - x: -0.7240447998046875, y: 0.4564666748046875, z: -0.3227996826171875
acceleration - x: -0.6988677978515625, y: 0.6721038818359375, z: -0.4298095703125
acceleration - x: -0.6468963623046875, y: 0.664337158203125, z: -0.2483673095703125
acceleration - x: -0.612152099609375, y: 0.450164794921875, z: -0.16021728515625
acceleration - x: -0.612152099609375, y: 0.450164794921875, z: -0.16021728515625
acceleration - x: -0.58648681640625, y: 0.380645751953125, z: -0.4109649658203125
acceleration - x: -0.537506103515625, y: 0.5615386962890625, z: -0.4228668212890625
acceleration - x: -0.5192108154296875, y: 0.6732177734375, z: -0.3930511474609375
acceleration - x: -0.4862518310546875, y: 0.6187591552734375, z: -0.329315185546875
acceleration - x: -0.4730072021484375, y: 0.531585693359375, z: -0.5199737548828125
acceleration - x: -0.4644317626953125, y: 0.6696929931640625, z: -0.852874755859375
acceleration - x: -0.37744140625, y: 0.9483489990234375, z: -0.963043212890625
acceleration - x: -0.345458984375, y: 1.08453369140625, z: -0.9102020263671875
acceleration - x: -0.3724517822265625, y: 1.02606201171875, z: -0.784454345703125
acceleration - x: -0.35662841796875, y: 0.768035888671875, z: -0.612030029296875
acceleration - x: -0.2931365966796875, y: 0.3665618896484375, z: -0.4749908447265625
acceleration - x: -0.2314910888671875, y: 0.0520782470703125, z: -0.31951904296875
acceleration - x: -0.20697021484375, y: -0.0613250732421875, z: -0.367462158203125
acceleration - x: -0.207427978515625, y: 0.148773193359375, z: -0.656463623046875
acceleration - x: -0.1644287109375, y: 0.634918212890625, z: -0.9384613037109375
acceleration - x: -0.124267578125, y: 0.9915771484375, z: -0.992401123046875
acceleration - x: -0.16357421875, y: 0.9450225830078125, z: -0.8531494140625
acceleration - x: -0.1613922119140625, y: 0.6362457275390625, z: -0.7103271484375
acceleration - x: -0.103118896484375, y: 0.38494873046875, z: -0.6028289794921875
acceleration - x: -0.049957275390625, y: 0.2552490234375, z: -0.6634521484375
acceleration - x: -0.0093231201171875, y: 0.3194427490234375, z: -0.880645751953125
acceleration - x: 0.0187225341796875, y: 0.658416748046875, z: -1.193634033203125
acceleration - x: 0.06695556640625, y: 1.056610107421875, z: -1.4552764892578125
acceleration - x: 0.384979248046875, y: 1.5725555419921875, z: -3.0019073486328125
acceleration - x: 0.2082672119140625, y: 1.648162841796875, z: 0.060302734375
acceleration - x: 0.347442626953125, y: 0.4433746337890625, z: -0.6468658447265625
acceleration - x: 0.065643310546875, y: 0.0448455810546875, z: -0.505950927734375
acceleration - x: -0.0595855712890625, y: -0.187225341796875, z: -0.8621978759765625
acceleration - x: 0.02801513671875, y: 0.1603851318359375, z: -0.8898773193359375
acceleration - x: 0.24322509765625, y: 0.7108306884765625, z: -1.183685302734375
acceleration - x: 0.3227081298828125, y: 1.1138458251953125, z: -0.6328887939453125
acceleration - x: 0.019683837890625, y: 0.91253662109375, z: -0.692596435546875
acceleration - x: -0.125457763671875, y: 0.515228271484375, z: -0.8688812255859375
acceleration - x: -0.034271240234375, y: 0.3529815673828125, z: -0.8733367919921875
acceleration - x: 0.1004486083984375, y: 0.38873291015625, z: -0.8627166748046875
acceleration - x: 0.1168060302734375, y: 0.56878662109375, z: -0.8158721923828125
acceleration - x: 0.03619384765625, y: 0.61859130859375, z: -0.8514404296875
acceleration - x: 0.022125244140625, y: 0.5153350830078125, z: -0.8568267822265625
acceleration - x: 0.0654449462890625, y: 0.4788970947265625, z: -0.8243560791015625
acceleration - x: 0.08587646484375, y: 0.5142364501953125, z: -0.8335723876953125
acceleration - x: 0.0621795654296875, y: 0.530059814453125, z: -0.849212646484375
acceleration - x: 0.0533905029296875, y: 0.4882049560546875, z: -0.859649658203125
acceleration - x: 0.0644073486328125, y: 0.470184326171875, z: -0.8428192138671875
acceleration - x: 0.0646209716796875, y: 0.5226287841796875, z: -0.8480224609375
acceleration - x: 0.0517578125, y: 0.5557708740234375, z: -0.845306396484375
acceleration - x: 0.0496063232421875, y: 0.536590576171875, z: -0.8599853515625
acceleration - x: 0.0652618408203125, y: 0.51947021484375, z: -0.851348876953125
acceleration - x: 0.057952880859375, y: 0.518890380859375, z: -0.8482208251953125
acceleration - x: 0.061614990234375, y: 0.5123138427734375, z: -0.8407135009765625
acceleration - x: 0.0636749267578125, y: 0.5176544189453125, z: -0.850006103515625
acceleration - x: 0.0636749267578125, y: 0.5176544189453125, z: -0.850006103515625
acceleration - x: 0.067047119140625, y: 0.55645751953125, z: -0.86590576171875
acceleration - x: 0.0553741455078125, y: 0.5115509033203125, z: -0.8413543701171875
acceleration - x: 0.0642852783203125, y: 0.50604248046875, z: -0.851165771484375
acceleration - x: 0.0642852783203125, y: 0.50604248046875, z: -0.851165771484375
acceleration - x: 0.05078125, y: 0.5196075439453125, z: -0.848602294921875
acceleration - x: 0.0504913330078125, y: 0.5255126953125, z: -0.850555419921875
acceleration - x: 0.053314208984375, y: 0.52777099609375, z: -0.856842041015625
acceleration - x: 0.053314208984375, y: 0.52777099609375, z: -0.856842041015625
acceleration - x: 0.0573883056640625, y: 0.506439208984375, z: -0.8494110107421875
acceleration - x: 0.05462646484375, y: 0.4980316162109375, z: -0.8511962890625
acceleration - x: 0.0567474365234375, y: 0.5005645751953125, z: -0.846923828125
acceleration - x: 0.0581817626953125, y: 0.524627685546875, z: -0.8550567626953125
acceleration - x: 0.0558319091796875, y: 0.5174560546875, z: -0.8471527099609375
acceleration - x: 0.053009033203125, y: 0.5015869140625, z: -0.8561859130859375
acceleration - x: 0.0582122802734375, y: 0.5057373046875, z: -0.8596038818359375
acceleration - x: 0.0573883056640625, y: 0.541168212890625, z: -0.8684539794921875
